,0,1
0,Target,file_name
236,17,339|2000- 17.png
237,3,1008|2000- 3.png
238,25,590|2000- 25.png
239,17,1350|2000- 17.png
240,40,1822|2000- 40.png
241,37,462|2000- 37.png
242,20,1330|2000- 20.png
243,34,1629|2000- 34.png
244,28,159|2000- 28.png
245,46,299|2000- 46.png
246,37,1172|2000- 37.png
247,48,241|2000- 48.png
248,22,694|2000- 22.png
249,6,1261|2000- 6.png
250,1,86|2000- 1.png
251,23,169|2000- 23.png
252,17,603|2000- 17.png
253,44,522|2000- 44.png
254,27,1696|2000- 27.png
255,49,1592|2000- 49.png
256,33,523|2000- 33.png
257,25,64|2000- 25.png
258,27,1020|2000- 27.png
259,31,1956|2000- 31.png
260,29,1529|2000- 29.png
261,25,1664|2000- 25.png
262,5,1440|2000- 5.png
263,25,619|2000- 25.png
264,7,1457|2000- 7.png
265,49,1742|2000- 49.png
266,4,803|2000- 4.png
267,36,835|2000- 36.png
268,12,337|2000- 12.png
269,49,183|2000- 49.png
270,14,1209|2000- 14.png
271,44,1697|2000- 44.png
272,29,1863|2000- 29.png
273,26,784|2000- 26.png
274,0,146|2000- 0.png
275,28,1077|2000- 28.png
276,39,1305|2000- 39.png
277,3,718|2000- 3.png
278,40,511|2000- 40.png
279,31,381|2000- 31.png
280,30,376|2000- 30.png
281,23,410|2000- 23.png
282,34,705|2000- 34.png
283,12,1391|2000- 12.png
284,6,733|2000- 6.png
285,29,1471|2000- 29.png
286,4,1946|2000- 4.png
287,1,1631|2000- 1.png
288,35,1760|2000- 35.png
289,11,1887|2000- 11.png
290,35,910|2000- 35.png
291,12,545|2000- 12.png
292,43,1153|2000- 43.png
293,35,642|2000- 35.png
294,0,164|2000- 0.png
295,14,1839|2000- 14.png
296,2,1756|2000- 2.png
297,34,1611|2000- 34.png
298,16,909|2000- 16.png
299,30,969|2000- 30.png
300,19,1152|2000- 19.png
301,4,1072|2000- 4.png
302,37,470|2000- 37.png
303,46,870|2000- 46.png
304,25,566|2000- 25.png
305,27,1314|2000- 27.png
306,24,1560|2000- 24.png
307,3,379|2000- 3.png
308,6,630|2000- 6.png
309,4,650|2000- 4.png
310,36,439|2000- 36.png
311,10,1026|2000- 10.png
312,26,555|2000- 26.png
313,45,1213|2000- 45.png
314,31,1513|2000- 31.png
315,28,1842|2000- 28.png
316,17,411|2000- 17.png
317,20,1466|2000- 20.png
318,19,1279|2000- 19.png
319,45,331|2000- 45.png
320,16,659|2000- 16.png
321,4,1042|2000- 4.png
322,3,206|2000- 3.png
323,42,1939|2000- 42.png
324,40,1985|2000- 40.png
325,28,1506|2000- 28.png
326,13,1365|2000- 13.png
327,2,311|2000- 2.png
328,29,912|2000- 29.png
329,43,458|2000- 43.png
330,18,1343|2000- 18.png
331,25,378|2000- 25.png
332,38,1146|2000- 38.png
333,19,1944|2000- 19.png
334,32,1968|2000- 32.png
335,16,1286|2000- 16.png
336,46,1341|2000- 46.png
337,39,1138|2000- 39.png
338,23,11|2000- 23.png
339,39,1815|2000- 39.png
340,11,1356|2000- 11.png
341,38,1130|2000- 38.png
342,27,1050|2000- 27.png
343,2,1387|2000- 2.png
344,16,1117|2000- 16.png
345,10,54|2000- 10.png
346,8,419|2000- 8.png
347,9,298|2000- 9.png
348,24,757|2000- 24.png
349,28,489|2000- 28.png
350,35,1043|2000- 35.png
351,47,35|2000- 47.png
352,37,345|2000- 37.png
353,18,652|2000- 18.png
354,10,806|2000- 10.png
355,30,723|2000- 30.png
356,26,313|2000- 26.png
357,26,1232|2000- 26.png
358,41,438|2000- 41.png
359,13,1601|2000- 13.png
360,22,1692|2000- 22.png
361,5,1952|2000- 5.png
362,25,1900|2000- 25.png
363,24,1176|2000- 24.png
364,27,813|2000- 27.png
365,1,395|2000- 1.png
366,34,1509|2000- 34.png
367,40,1415|2000- 40.png
368,5,1135|2000- 5.png
369,37,1591|2000- 37.png
370,9,1973|2000- 9.png
371,18,1468|2000- 18.png
372,8,1022|2000- 8.png
373,46,1244|2000- 46.png
374,44,1361|2000- 44.png
375,41,40|2000- 41.png
376,7,296|2000- 7.png
377,16,373|2000- 16.png
378,36,1851|2000- 36.png
379,49,1095|2000- 49.png
380,28,1600|2000- 28.png
381,5,774|2000- 5.png
382,16,1534|2000- 16.png
383,31,900|2000- 31.png
384,12,1344|2000- 12.png
385,15,1704|2000- 15.png
386,35,1408|2000- 35.png
387,48,1796|2000- 48.png
388,22,114|2000- 22.png
389,40,1015|2000- 40.png
390,16,629|2000- 16.png
391,22,74|2000- 22.png
392,43,537|2000- 43.png
393,25,505|2000- 25.png
394,9,1012|2000- 9.png
395,18,781|2000- 18.png
396,13,1372|2000- 13.png
397,37,1746|2000- 37.png
398,26,1785|2000- 26.png
399,25,1716|2000- 25.png
400,24,1705|2000- 24.png
401,9,1977|2000- 9.png
402,39,1478|2000- 39.png
403,10,1961|2000- 10.png
404,29,678|2000- 29.png
405,49,776|2000- 49.png
406,11,1581|2000- 11.png
407,6,926|2000- 6.png
408,42,1102|2000- 42.png
409,8,256|2000- 8.png
410,19,1892|2000- 19.png
411,29,1626|2000- 29.png
412,20,1561|2000- 20.png
413,32,1476|2000- 32.png
414,49,581|2000- 49.png
415,31,1450|2000- 31.png
416,11,5|2000- 11.png
417,15,580|2000- 15.png
418,23,1481|2000- 23.png
419,12,1749|2000- 12.png
420,22,610|2000- 22.png
421,33,964|2000- 33.png
422,15,1860|2000- 15.png
423,41,104|2000- 41.png
424,33,563|2000- 33.png
425,44,355|2000- 44.png
426,45,1772|2000- 45.png
427,19,1679|2000- 19.png
428,7,1535|2000- 7.png
429,27,1406|2000- 27.png
430,3,1522|2000- 3.png
431,6,136|2000- 6.png
432,46,1276|2000- 46.png
433,4,1652|2000- 4.png
434,21,1498|2000- 21.png
435,8,414|2000- 8.png
436,22,1125|2000- 22.png
437,35,77|2000- 35.png
438,26,188|2000- 26.png
439,34,871|2000- 34.png
440,41,1640|2000- 41.png
441,45,68|2000- 45.png
442,21,380|2000- 21.png
443,41,740|2000- 41.png
444,25,23|2000- 25.png
445,15,830|2000- 15.png
446,39,1082|2000- 39.png
447,4,567|2000- 4.png
448,48,1183|2000- 48.png
449,47,1067|2000- 47.png
450,12,1929|2000- 12.png
451,6,503|2000- 6.png
452,6,719|2000- 6.png
453,19,2|2000- 19.png
454,39,1106|2000- 39.png
455,20,1840|2000- 20.png
456,5,316|2000- 5.png
457,46,1753|2000- 46.png
458,19,448|2000- 19.png
459,46,1752|2000- 46.png
460,26,1583|2000- 26.png
461,5,1827|2000- 5.png
462,45,253|2000- 45.png
463,24,281|2000- 24.png
464,13,486|2000- 13.png
465,2,1220|2000- 2.png
466,45,1255|2000- 45.png
467,16,1204|2000- 16.png
468,23,1257|2000- 23.png
469,10,1464|2000- 10.png
470,42,1070|2000- 42.png
471,37,762|2000- 37.png
472,20,1812|2000- 20.png
473,26,506|2000- 26.png
474,5,963|2000- 5.png
475,7,469|2000- 7.png
476,38,260|2000- 38.png
477,5,1935|2000- 5.png
478,42,65|2000- 42.png
479,4,1959|2000- 4.png
480,47,231|2000- 47.png
481,36,397|2000- 36.png
482,44,1830|2000- 44.png
483,40,1896|2000- 40.png
484,46,1751|2000- 46.png
485,42,1642|2000- 42.png
486,35,1671|2000- 35.png
487,1,1271|2000- 1.png
488,21,1549|2000- 21.png
489,22,1976|2000- 22.png
490,14,235|2000- 14.png
491,16,641|2000- 16.png
492,17,1298|2000- 17.png
493,0,1876|2000- 0.png
494,17,596|2000- 17.png
495,36,396|2000- 36.png
496,18,786|2000- 18.png
497,4,425|2000- 4.png
498,38,1280|2000- 38.png
499,0,290|2000- 0.png
500,44,1618|2000- 44.png
501,5,174|2000- 5.png
502,33,1295|2000- 33.png
503,11,791|2000- 11.png
504,16,128|2000- 16.png
505,4,725|2000- 4.png
506,48,377|2000- 48.png
507,27,1402|2000- 27.png
508,24,1569|2000- 24.png
509,41,1273|2000- 41.png
510,46,246|2000- 46.png
511,32,1612|2000- 32.png
512,6,1921|2000- 6.png
513,0,1699|2000- 0.png
514,28,204|2000- 28.png
515,30,1110|2000- 30.png
516,2,1971|2000- 2.png
517,26,1463|2000- 26.png
518,45,168|2000- 45.png
519,14,1028|2000- 14.png
520,17,644|2000- 17.png
521,34,583|2000- 34.png
522,0,465|2000- 0.png
523,48,514|2000- 48.png
524,3,769|2000- 3.png
525,37,7|2000- 37.png
526,43,1637|2000- 43.png
527,10,20|2000- 10.png
528,30,968|2000- 30.png
529,26,71|2000- 26.png
530,39,568|2000- 39.png
531,44,434|2000- 44.png
532,18,1798|2000- 18.png
533,22,1289|2000- 22.png
534,29,119|2000- 29.png
535,28,681|2000- 28.png
536,18,358|2000- 18.png
537,11,44|2000- 11.png
538,47,1337|2000- 47.png
539,13,544|2000- 13.png
540,28,547|2000- 28.png
541,23,1678|2000- 23.png
542,42,52|2000- 42.png
543,44,1017|2000- 44.png
544,42,793|2000- 42.png
545,30,1987|2000- 30.png
546,20,263|2000- 20.png
547,37,1791|2000- 37.png
548,6,1342|2000- 6.png
549,19,1458|2000- 19.png
550,44,1182|2000- 44.png
551,33,651|2000- 33.png
552,33,1669|2000- 33.png
553,7,1243|2000- 7.png
554,40,1646|2000- 40.png
555,10,852|2000- 10.png
556,40,540|2000- 40.png
557,36,1682|2000- 36.png
558,6,1526|2000- 6.png
559,29,1917|2000- 29.png
560,31,1240|2000- 31.png
561,32,1933|2000- 32.png
562,5,1290|2000- 5.png
563,28,965|2000- 28.png
564,21,1288|2000- 21.png
565,19,213|2000- 19.png
566,49,874|2000- 49.png
567,10,1446|2000- 10.png
568,29,12|2000- 29.png
569,7,1541|2000- 7.png
570,7,1374|2000- 7.png
571,12,1046|2000- 12.png
572,46,284|2000- 46.png
573,3,513|2000- 3.png
574,15,1960|2000- 15.png
575,27,848|2000- 27.png
576,37,111|2000- 37.png
577,13,726|2000- 13.png
578,23,460|2000- 23.png
579,46,1861|2000- 46.png
580,1,1795|2000- 1.png
581,9,1710|2000- 9.png
582,29,1913|2000- 29.png
583,5,1302|2000- 5.png
584,31,1088|2000- 31.png
585,3,1510|2000- 3.png
586,37,1788|2000- 37.png
587,39,1662|2000- 39.png
588,19,1099|2000- 19.png
589,40,876|2000- 40.png
590,44,474|2000- 44.png
591,37,986|2000- 37.png
592,4,453|2000- 4.png
593,19,1219|2000- 19.png
594,44,58|2000- 44.png
595,23,162|2000- 23.png
596,13,1599|2000- 13.png
597,46,1527|2000- 46.png
598,3,1866|2000- 3.png
599,43,1532|2000- 43.png
600,8,1291|2000- 8.png
601,14,1124|2000- 14.png
602,30,1681|2000- 30.png
603,29,730|2000- 29.png
604,9,737|2000- 9.png
605,14,1586|2000- 14.png
606,28,1949|2000- 28.png
607,9,1734|2000- 9.png
608,44,1157|2000- 44.png
609,33,387|2000- 33.png
610,12,108|2000- 12.png
611,7,928|2000- 7.png
612,28,1032|2000- 28.png
613,32,16|2000- 32.png
614,25,323|2000- 25.png
615,47,1790|2000- 47.png
616,14,1627|2000- 14.png
617,25,989|2000- 25.png
618,4,356|2000- 4.png
619,31,1392|2000- 31.png
620,0,1736|2000- 0.png
621,44,717|2000- 44.png
622,23,1052|2000- 23.png
623,41,1352|2000- 41.png
624,40,1930|2000- 40.png
625,30,1512|2000- 30.png
626,31,1425|2000- 31.png
627,30,600|2000- 30.png
628,13,1019|2000- 13.png
629,2,560|2000- 2.png
630,32,646|2000- 32.png
631,35,1149|2000- 35.png
632,1,632|2000- 1.png
633,3,971|2000- 3.png
634,12,1159|2000- 12.png
635,36,137|2000- 36.png
636,24,1983|2000- 24.png
637,23,1239|2000- 23.png
638,34,812|2000- 34.png
639,13,1835|2000- 13.png
640,24,825|2000- 24.png
641,21,751|2000- 21.png
642,47,1807|2000- 47.png
643,25,319|2000- 25.png
644,32,624|2000- 32.png
645,48,276|2000- 48.png
646,40,1148|2000- 40.png
647,17,674|2000- 17.png
648,46,847|2000- 46.png
649,43,1003|2000- 43.png
650,49,1355|2000- 49.png
651,24,977|2000- 24.png
652,5,1744|2000- 5.png
653,37,1147|2000- 37.png
654,17,925|2000- 17.png
655,25,113|2000- 25.png
656,2,602|2000- 2.png
657,14,1810|2000- 14.png
658,6,885|2000- 6.png
659,43,1546|2000- 43.png
660,20,1419|2000- 20.png
661,47,81|2000- 47.png
662,12,716|2000- 12.png
663,25,1832|2000- 25.png
664,18,1442|2000- 18.png
665,18,454|2000- 18.png
666,39,976|2000- 39.png
667,9,1246|2000- 9.png
668,13,862|2000- 13.png
669,30,1874|2000- 30.png
670,38,1550|2000- 38.png
671,49,1407|2000- 49.png
672,41,785|2000- 41.png
673,38,1924|2000- 38.png
674,21,585|2000- 21.png
675,15,993|2000- 15.png
676,49,82|2000- 49.png
677,12,1071|2000- 12.png
678,35,1181|2000- 35.png
679,47,232|2000- 47.png
680,22,1381|2000- 22.png
681,41,800|2000- 41.png
682,37,749|2000- 37.png
683,40,219|2000- 40.png
684,32,1841|2000- 32.png
685,31,987|2000- 31.png
686,16,1480|2000- 16.png
687,2,149|2000- 2.png
688,27,886|2000- 27.png
689,8,1441|2000- 8.png
690,0,258|2000- 0.png
691,30,1378|2000- 30.png
692,20,99|2000- 20.png
693,31,1112|2000- 31.png
694,26,892|2000- 26.png
695,6,1319|2000- 6.png
696,9,1492|2000- 9.png
697,21,1547|2000- 21.png
698,20,391|2000- 20.png
699,31,45|2000- 31.png
700,33,1576|2000- 33.png
701,36,347|2000- 36.png
702,17,173|2000- 17.png
703,1,1657|2000- 1.png
704,1,1755|2000- 1.png
705,15,22|2000- 15.png
706,34,1382|2000- 34.png
707,41,998|2000- 41.png
708,39,1641|2000- 39.png
709,49,1000|2000- 49.png
710,7,479|2000- 7.png
711,42,571|2000- 42.png
712,43,1215|2000- 43.png
713,21,1869|2000- 21.png
714,10,1598|2000- 10.png
715,27,1325|2000- 27.png
716,0,1614|2000- 0.png
717,33,636|2000- 33.png
718,22,679|2000- 22.png
719,3,480|2000- 3.png
720,24,1360|2000- 24.png
721,24,1098|2000- 24.png
722,4,1590|2000- 4.png
723,8,982|2000- 8.png
724,14,794|2000- 14.png
725,7,1057|2000- 7.png
726,4,1223|2000- 4.png
727,2,1377|2000- 2.png
728,17,237|2000- 17.png
729,2,332|2000- 2.png
730,10,758|2000- 10.png
731,36,1605|2000- 36.png
732,11,699|2000- 11.png
733,12,205|2000- 12.png
734,4,1123|2000- 4.png
735,8,442|2000- 8.png
736,20,509|2000- 20.png
737,33,275|2000- 33.png
738,36,1306|2000- 36.png
739,2,860|2000- 2.png
740,31,1311|2000- 31.png
741,20,1066|2000- 20.png
742,1,451|2000- 1.png
743,3,1259|2000- 3.png
744,38,753|2000- 38.png
745,2,359|2000- 2.png
746,21,389|2000- 21.png
747,37,227|2000- 37.png
748,37,1416|2000- 37.png
749,14,841|2000- 14.png
750,26,1211|2000- 26.png
751,28,1199|2000- 28.png
752,43,443|2000- 43.png
753,34,1283|2000- 34.png
754,13,415|2000- 13.png
755,49,711|2000- 49.png
756,34,1934|2000- 34.png
757,45,1922|2000- 45.png
758,44,338|2000- 44.png
759,48,1899|2000- 48.png
760,41,704|2000- 41.png
761,10,584|2000- 10.png
762,27,1806|2000- 27.png
763,32,587|2000- 32.png
764,15,1650|2000- 15.png
765,0,1800|2000- 0.png
766,7,192|2000- 7.png
767,11,1690|2000- 11.png
768,40,1236|2000- 40.png
769,30,645|2000- 30.png
770,31,273|2000- 31.png
771,8,43|2000- 8.png
772,14,676|2000- 14.png
773,19,1009|2000- 19.png
774,49,1837|2000- 49.png
775,24,1385|2000- 24.png
776,32,863|2000- 32.png
777,36,798|2000- 36.png
778,32,228|2000- 32.png
779,31,248|2000- 31.png
780,21,501|2000- 21.png
781,41,366|2000- 41.png
782,29,49|2000- 29.png
783,42,1323|2000- 42.png
784,10,230|2000- 10.png
785,25,450|2000- 25.png
786,3,1833|2000- 3.png
787,32,1982|2000- 32.png
788,43,203|2000- 43.png
789,10,938|2000- 10.png
790,46,1188|2000- 46.png
791,5,640|2000- 5.png
792,17,752|2000- 17.png
793,48,1536|2000- 48.png
794,36,357|2000- 36.png
795,45,1508|2000- 45.png
796,44,996|2000- 44.png
797,0,1301|2000- 0.png
798,15,1165|2000- 15.png
799,29,858|2000- 29.png
800,24,1435|2000- 24.png
801,44,455|2000- 44.png
802,26,1732|2000- 26.png
803,25,518|2000- 25.png
804,14,123|2000- 14.png
805,1,1774|2000- 1.png
806,4,112|2000- 4.png
807,13,697|2000- 13.png
808,18,633|2000- 18.png
809,25,1413|2000- 25.png
810,49,1554|2000- 49.png
811,30,1329|2000- 30.png
812,35,1884|2000- 35.png
813,42,823|2000- 42.png
814,17,307|2000- 17.png
815,28,1816|2000- 28.png
816,46,266|2000- 46.png
817,41,214|2000- 41.png
818,41,1265|2000- 41.png
819,14,921|2000- 14.png
820,26,1882|2000- 26.png
821,7,392|2000- 7.png
822,5,1426|2000- 5.png
823,11,814|2000- 11.png
824,2,1871|2000- 2.png
825,27,430|2000- 27.png
826,38,254|2000- 38.png
827,9,1701|2000- 9.png
828,15,317|2000- 15.png
829,10,1894|2000- 10.png
830,14,352|2000- 14.png
831,12,1937|2000- 12.png
832,18,724|2000- 18.png
833,35,1667|2000- 35.png
834,31,1947|2000- 31.png
835,42,1170|2000- 42.png
836,15,502|2000- 15.png
837,20,1105|2000- 20.png
838,9,1386|2000- 9.png
839,11,609|2000- 11.png
840,36,1848|2000- 36.png
841,4,625|2000- 4.png
842,0,132|2000- 0.png
843,37,1202|2000- 37.png
844,18,300|2000- 18.png
845,40,538|2000- 40.png
846,17,1318|2000- 17.png
847,38,1858|2000- 38.png
848,0,1431|2000- 0.png
849,17,452|2000- 17.png
850,47,1531|2000- 47.png
851,5,950|2000- 5.png
852,37,1994|2000- 37.png
853,29,208|2000- 29.png
854,6,1893|2000- 6.png
855,47,1108|2000- 47.png
856,10,1595|2000- 10.png
857,39,1395|2000- 39.png
858,43,692|2000- 43.png
859,26,186|2000- 26.png
860,8,635|2000- 8.png
861,47,1092|2000- 47.png
862,7,182|2000- 7.png
863,13,1335|2000- 13.png
864,12,1241|2000- 12.png
865,1,375|2000- 1.png
866,18,1048|2000- 18.png
867,34,309|2000- 34.png
868,48,736|2000- 48.png
869,6,1735|2000- 6.png
870,28,1593|2000- 28.png
871,32,655|2000- 32.png
872,48,1895|2000- 48.png
873,31,891|2000- 31.png
874,41,1001|2000- 41.png
875,25,91|2000- 25.png
876,33,1728|2000- 33.png
877,0,1207|2000- 0.png
878,18,529|2000- 18.png
879,2,1801|2000- 2.png
880,14,1578|2000- 14.png
881,26,1967|2000- 26.png
882,37,274|2000- 37.png
883,23,1029|2000- 23.png
884,4,370|2000- 4.png
885,35,191|2000- 35.png
886,9,1397|2000- 9.png
887,33,1166|2000- 33.png
888,22,1602|2000- 22.png
889,14,1367|2000- 14.png
890,9,320|2000- 9.png
891,20,325|2000- 20.png
892,14,519|2000- 14.png
893,31,1144|2000- 31.png
894,20,1683|2000- 20.png
895,11,864|2000- 11.png
896,30,1745|2000- 30.png
897,6,1486|2000- 6.png
898,17,1100|2000- 17.png
899,39,1167|2000- 39.png
900,6,6|2000- 6.png
901,26,297|2000- 26.png
902,1,1533|2000- 1.png
903,6,1339|2000- 6.png
904,41,720|2000- 41.png
905,22,280|2000- 22.png
906,36,782|2000- 36.png
907,29,988|2000- 29.png
908,32,1780|2000- 32.png
909,18,1596|2000- 18.png
910,23,617|2000- 23.png
911,7,1470|2000- 7.png
912,21,393|2000- 21.png
913,30,703|2000- 30.png
914,23,1336|2000- 23.png
915,0,160|2000- 0.png
916,12,1322|2000- 12.png
917,45,508|2000- 45.png
918,36,321|2000- 36.png
919,22,271|2000- 22.png
920,14,1880|2000- 14.png
921,19,1168|2000- 19.png
922,32,485|2000- 32.png
923,1,1208|2000- 1.png
924,21,1171|2000- 21.png
925,39,684|2000- 39.png
926,0,145|2000- 0.png
927,49,922|2000- 49.png
928,3,1942|2000- 3.png
929,35,931|2000- 35.png
930,42,1044|2000- 42.png
931,30,1292|2000- 30.png
932,38,57|2000- 38.png
933,11,240|2000- 11.png
934,14,683|2000- 14.png
935,48,1264|2000- 48.png
936,8,708|2000- 8.png
937,25,295|2000- 25.png
938,38,1432|2000- 38.png
939,46,1459|2000- 46.png
940,42,1065|2000- 42.png
941,9,721|2000- 9.png
942,10,167|2000- 10.png
943,36,940|2000- 36.png
944,20,1556|2000- 20.png
945,46,1023|2000- 46.png
946,2,382|2000- 2.png
947,18,1775|2000- 18.png
948,16,920|2000- 16.png
949,45,1179|2000- 45.png
950,36,1978|2000- 36.png
951,19,151|2000- 19.png
952,11,1770|2000- 11.png
953,3,4|2000- 3.png
954,31,1076|2000- 31.png
955,31,1424|2000- 31.png
956,45,1524|2000- 45.png
957,43,840|2000- 43.png
958,48,1845|2000- 48.png
959,11,826|2000- 11.png
960,45,616|2000- 45.png
961,23,924|2000- 23.png
962,40,1771|2000- 40.png
